tweet_id,is_misinfo,is_narrative
1.27E+18,0,1
1.26E+18,0,0
1.24E+18,0,0
1.28E+18,0,0
1.27E+18,0,0
1.24E+18,0,0
1.27E+18,0,0
1.26E+18,0,0
1.28E+18,0,0
1.25E+18,0,0
1.28E+18,0,0
1.26E+18,0,0
1.24E+18,0,0
1.24E+18,0,0
1.39E+18,0,0
1.27E+18,0,1
1.28E+18,0,0
1.24E+18,0,0
1.24E+18,0,0
1.26E+18,0,0
1.28E+18,0,0
1.28E+18,0,0
1.24E+18,0,1
1.25E+18,0,0
1.34E+18,0,0
1.24E+18,0,0
1.24E+18,0,0
1.27E+18,0,0
1.27E+18,0,0
1.24E+18,0,0
1.39E+18,0,0
1.24E+18,0,0
1.28E+18,0,0
1.27E+18,0,1
1.25E+18,0,0
1.26E+18,1,0
1.26E+18,1,0
1.26E+18,1,0
1.37E+18,1,0
1.35E+18,1,0
1.34E+18,1,0
1.35E+18,1,0
1.26E+18,1,0
1.28E+18,1,0
1.24E+18,1,0
1.27E+18,1,1
1.26E+18,1,0
1.27E+18,1,0
1.25E+18,1,1
1.25E+18,1,0
1.39E+18,1,0
1.34E+18,0,1
1.37E+18,0,1
1.35E+18,0,1
1.39E+18,0,1
1.37E+18,0,0
1.41E+18,0,0
1.37E+18,0,1
1.35E+18,0,1
1.37E+18,0,1
1.37E+18,0,1
1.37E+18,0,1
1.39E+18,0,0
1.35E+18,0,0
1.34E+18,0,1
1.36E+18,0,0
1.36E+18,0,1
1.34E+18,0,1
1.39E+18,0,1
1.40E+18,0,1
1.39E+18,0,0
1.39E+18,0,0
1.36E+18,0,1
1.37E+18,0,1
1.34E+18,0,0
1.41E+18,0,1
1.36E+18,0,1
1.34E+18,0,0
1.37E+18,0,1
1.35E+18,0,0
1.35E+18,0,0
1.34E+18,0,1
1.37E+18,0,1
1.37E+18,0,0
1.35E+18,0,1
1.39E+18,0,0
1.36E+18,0,1
1.40E+18,0,1
1.37E+18,0,1
1.40E+18,0,0
1.36E+18,0,1
1.36E+18,0,0
1.41E+18,0,1
1.40E+18,0,1
1.35E+18,0,0
1.35E+18,0,1
1.41E+18,0,1
1.39E+18,0,1
1.39E+18,0,0
1.39E+18,0,1
1.34E+18,0,1
1.36E+18,0,0
1.27E+18,0,0
1.39E+18,0,0
1.35E+18,0,0
1.39E+18,0,1
1.41E+18,0,0
1.36E+18,0,1
1.41E+18,0,1
1.36E+18,0,1
1.37E+18,0,1
1.40E+18,0,1
1.36E+18,0,1
1.39E+18,0,0
1.37E+18,0,1
1.39E+18,0,0
1.39E+18,0,1
1.37E+18,0,0
1.36E+18,0,0
1.39E+18,0,1
1.34E+18,0,1
1.39E+18,0,0
1.36E+18,0,1
1.40E+18,0,0
1.40E+18,0,1
1.40E+18,0,1
1.37E+18,0,1
1.39E+18,0,1
1.40E+18,0,1
1.40E+18,0,1
1.36E+18,0,0
1.37E+18,0,0
1.41E+18,0,1
1.40E+18,0,1
1.34E+18,0,1
1.40E+18,0,1
1.39E+18,0,0
1.40E+18,0,1
1.39E+18,0,1
1.39E+18,0,0
1.27E+18,0,1
1.37E+18,0,1
1.39E+18,0,0
1.35E+18,0,0
1.40E+18,0,0
1.39E+18,0,1
1.40E+18,0,1
1.40E+18,0,1
1.35E+18,0,1
1.39E+18,0,1
1.34E+18,0,0
1.39E+18,0,0
1.39E+18,0,1
1.37E+18,0,0
1.39E+18,0,1
1.36E+18,0,0
1.41E+18,0,1
1.36E+18,0,0
1.39E+18,0,0
1.35E+18,0,0
1.36E+18,0,1
1.34E+18,0,0
1.35E+18,0,1
1.39E+18,0,1
1.39E+18,0,1
1.37E+18,0,1
1.34E+18,0,1
1.39E+18,0,0
1.39E+18,0,0
1.36E+18,0,1
1.37E+18,0,0
1.34E+18,0,0
1.36E+18,0,1
1.39E+18,0,0
1.40E+18,0,1
1.39E+18,0,0
1.39E+18,0,0
1.35E+18,0,0
1.34E+18,0,1
1.39E+18,0,1
1.35E+18,0,1
1.39E+18,0,1
1.39E+18,0,1
1.35E+18,0,0
1.34E+18,0,1
1.35E+18,0,0
1.34E+18,0,0
1.28E+18,0,0
1.35E+18,0,1
1.37E+18,0,1
1.36E+18,0,1
1.39E+18,0,0
1.36E+18,0,1
1.41E+18,0,0
1.35E+18,0,0
1.41E+18,0,1
1.36E+18,0,0
1.39E+18,0,0
1.34E+18,0,1
1.35E+18,0,1
1.34E+18,0,1
1.34E+18,0,1
1.41E+18,0,1
1.39E+18,0,1
1.39E+18,0,0
1.34E+18,0,0
1.39E+18,0,1
1.37E+18,0,1
1.39E+18,0,1
1.39E+18,0,0
1.39E+18,0,0
1.36E+18,0,1
1.41E+18,0,1
1.39E+18,0,1
1.34E+18,0,1
1.37E+18,0,0
1.39E+18,0,1
1.34E+18,0,1
1.41E+18,0,1
1.37E+18,1,0
1.35E+18,1,0
1.34E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.34E+18,1,0
1.36E+18,1,0
1.39E+18,1,0
1.36E+18,1,1
1.40E+18,1,0
1.35E+18,1,0
1.39E+18,1,1
1.40E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.34E+18,1,0
1.39E+18,1,0
1.36E+18,1,0
1.36E+18,1,0
1.36E+18,1,0
1.36E+18,1,0
1.27E+18,1,0
1.37E+18,1,0
1.37E+18,1,1
1.39E+18,1,0
1.37E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.37E+18,1,0
1.37E+18,1,0
1.36E+18,1,1
1.35E+18,1,0
1.40E+18,1,0
1.37E+18,1,0
1.34E+18,1,0
1.34E+18,1,0
1.39E+18,1,1
1.25E+18,1,1
1.37E+18,1,0
1.34E+18,1,0
1.35E+18,1,0
1.34E+18,1,0
1.37E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.37E+18,1,0
1.34E+18,1,0
1.34E+18,1,0
1.37E+18,1,0
1.39E+18,1,0
1.40E+18,1,0
1.36E+18,1,0
1.34E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.34E+18,1,0
1.40E+18,1,0
1.39E+18,1,0
1.39E+18,1,1
1.39E+18,1,0
1.37E+18,1,1
1.37E+18,1,0
1.35E+18,1,0
1.39E+18,1,1
1.36E+18,1,0
1.39E+18,1,0
1.34E+18,1,0
1.39E+18,1,0
1.40E+18,1,0
1.37E+18,1,0
1.34E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.35E+18,1,0
1.40E+18,1,0
1.35E+18,1,0
1.40E+18,1,0
1.35E+18,1,0
1.36E+18,1,0
1.37E+18,0,1
1.41E+18,1,0
1.39E+18,1,0
1.27E+18,1,0
1.37E+18,1,1
1.41E+18,0,0
1.34E+18,0,0
1.24E+18,0,0
1.34E+18,1,0
1.27E+18,0,0
1.36E+18,1,0
1.39E+18,0,1
1.40E+18,0,0
1.37E+18,0,1
1.34E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.36E+18,0,1
1.37E+18,0,1
1.36E+18,1,1
1.34E+18,0,1
1.28E+18,1,0
1.27E+18,1,0
1.39E+18,0,0
1.39E+18,1,0
1.40E+18,0,1
1.27E+18,0,1
1.34E+18,0,1
1.37E+18,0,1
1.39E+18,1,0
1.34E+18,0,1
1.37E+18,1,0
1.39E+18,0,1
1.37E+18,0,1
1.26E+18,1,0
1.23E+18,1,0
1.35E+18,0,0
1.35E+18,0,1
1.40E+18,0,0
1.40E+18,0,1
1.41E+18,1,0
1.27E+18,1,0
1.24E+18,0,1
1.39E+18,1,1
1.36E+18,0,1
1.36E+18,1,0
1.39E+18,1,0
1.26E+18,0,0
1.39E+18,0,0
1.34E+18,0,1
1.24E+18,1,0
1.24E+18,0,0
1.35E+18,0,1
1.35E+18,0,1
1.37E+18,1,0
1.35E+18,1,0
1.25E+18,1,0
1.36E+18,0,0
1.34E+18,1,0
1.41E+18,0,1
1.34E+18,0,1
1.41E+18,0,1
1.39E+18,0,1
1.37E+18,1,0
1.39E+18,0,0
1.37E+18,0,1
1.39E+18,0,1
1.41E+18,0,1
1.37E+18,1,0
1.25E+18,0,0
1.28E+18,0,0
1.35E+18,0,1
1.39E+18,0,1
1.35E+18,0,0
1.39E+18,0,0
1.35E+18,0,0
1.36E+18,0,1
1.37E+18,1,0
1.40E+18,0,1
1.36E+18,1,0
1.34E+18,0,0
1.39E+18,0,1
1.28E+18,0,0
1.24E+18,0,0
1.39E+18,1,0
1.39E+18,0,0
1.39E+18,1,0
1.39E+18,0,1
1.34E+18,0,0
1.36E+18,1,0
1.39E+18,1,1
1.36E+18,1,0
1.39E+18,0,1
1.37E+18,0,0
1.36E+18,1,0
1.34E+18,0,1
1.34E+18,1,0
1.41E+18,0,1
1.34E+18,0,1
1.34E+18,1,0
1.24E+18,0,1
1.39E+18,0,0
1.39E+18,0,0
1.41E+18,0,1
1.41E+18,0,1
1.35E+18,0,0
1.35E+18,1,0
1.25E+18,1,0
1.27E+18,0,0
1.27E+18,1,0
1.28E+18,0,0
1.34E+18,1,0
1.34E+18,0,1
1.40E+18,0,0
1.39E+18,0,1
1.25E+18,0,0
1.35E+18,0,0
1.37E+18,0,1
1.36E+18,1,0
1.39E+18,0,0
1.34E+18,0,1
1.36E+18,1,0
1.37E+18,0,1
1.27E+18,0,0
1.40E+18,0,0
1.36E+18,1,1
1.34E+18,0,0
1.36E+18,0,1
1.27E+18,0,0
1.25E+18,0,0
1.35E+18,1,0
1.39E+18,0,1
1.40E+18,0,1
1.39E+18,1,0
1.39E+18,0,1
1.37E+18,0,1
1.37E+18,1,0
1.27E+18,0,0
1.39E+18,0,0
1.35E+18,1,0
1.39E+18,0,0
1.34E+18,0,1
1.39E+18,1,1
1.39E+18,0,0
1.37E+18,0,1
1.26E+18,1,0
1.40E+18,0,1
1.35E+18,0,0
1.36E+18,1,0
1.39E+18,0,0
1.39E+18,0,0
1.35E+18,1,0
1.40E+18,0,0
1.40E+18,1,0
1.36E+18,0,1
1.37E+18,1,0
1.40E+18,0,0
1.36E+18,0,1
1.35E+18,0,0
1.40E+18,0,1
1.34E+18,1,0
1.40E+18,1,0
1.39E+18,0,0
1.39E+18,1,0
1.39E+18,1,0
1.34E+18,0,1
1.27E+18,1,0
1.37E+18,0,1
1.39E+18,0,0
1.41E+18,0,1
1.24E+18,0,0
1.36E+18,1,0
1.37E+18,0,0
1.34E+18,1,0
1.36E+18,0,0
1.27E+18,0,0
1.34E+18,1,0
1.39E+18,1,0
1.35E+18,0,0
1.35E+18,0,1
1.24E+18,0,1
1.39E+18,0,1
1.34E+18,0,1
1.39E+18,0,1
1.37E+18,1,1
1.34E+18,0,1
1.41E+18,0,1
1.35E+18,1,0
1.40E+18,0,1
1.36E+18,0,1
1.36E+18,1,0
1.35E+18,1,0
1.36E+18,1,1
1.35E+18,1,0
1.40E+18,1,0
1.34E+18,0,1
1.35E+18,0,1
1.35E+18,0,0
1.34E+18,0,1
1.39E+18,0,0
1.40E+18,0,0
1.35E+18,0,0
1.39E+18,0,0
1.39E+18,1,0
1.34E+18,0,1
1.27E+18,0,0
1.36E+18,1,0
1.36E+18,1,0
1.34E+18,0,0
1.28E+18,0,1
1.40E+18,0,1
1.27E+18,1,0
1.24E+18,1,1
1.40E+18,0,1
1.36E+18,0,1
1.24E+18,0,0
1.36E+18,1,1
1.35E+18,0,1
1.35E+18,0,0
1.28E+18,1,0
1.39E+18,1,0
1.39E+18,0,1
1.35E+18,0,1
1.24E+18,0,0
1.37E+18,0,1
1.40E+18,1,1
1.39E+18,0,1
1.39E+18,1,0
1.34E+18,0,0
1.36E+18,0,1
1.39E+18,1,0
1.24E+18,1,0
1.24E+18,1,0
1.35E+18,0,1
1.37E+18,0,0
1.39E+18,1,0
1.27E+18,0,0
1.37E+18,1,0
1.37E+18,0,1
1.39E+18,0,1
1.24E+18,0,0
1.26E+18,0,1
1.27E+18,0,0
1.37E+18,0,1
1.37E+18,0,1
1.27E+18,0,1
1.34E+18,1,0
1.41E+18,0,1
1.40E+18,0,1
1.40E+18,0,1
1.36E+18,0,1
1.37E+18,0,1
1.41E+18,0,1
1.39E+18,0,0
1.27E+18,0,0
1.35E+18,1,0
1.40E+18,0,1
1.34E+18,0,1
1.39E+18,0,0
1.35E+18,1,0
1.36E+18,1,0
1.39E+18,1,0
1.40E+18,1,0
1.24E+18,0,1
1.35E+18,0,0
1.35E+18,1,0
1.39E+18,0,0
1.24E+18,0,0
1.37E+18,1,0
1.36E+18,0,1
1.39E+18,0,1
1.35E+18,0,0
1.39E+18,0,0
1.37E+18,0,0
1.27E+18,0,0
1.40E+18,0,1
1.35E+18,0,1
1.35E+18,0,0
1.39E+18,1,0
1.35E+18,0,1
1.36E+18,0,1
1.37E+18,1,1
1.35E+18,0,0
1.27E+18,0,1
1.39E+18,0,0
1.28E+18,0,0
1.35E+18,1,0
1.39E+18,0,1
1.39E+18,0,0
1.34E+18,1,0
1.37E+18,0,0
1.26E+18,0,0
1.36E+18,0,1
1.36E+18,0,1
1.34E+18,0,1
1.36E+18,1,1
1.27E+18,1,0
1.36E+18,0,1
1.37E+18,0,1
1.27E+18,1,0
1.41E+18,0,1
1.41E+18,0,1
1.35E+18,1,0
1.40E+18,0,1
1.40E+18,0,1
1.40E+18,1,0
1.26E+18,0,1
1.36E+18,1,0
1.39E+18,0,1
1.35E+18,0,0
1.39E+18,1,0
1.41E+18,0,1
1.34E+18,1,1
1.37E+18,0,1
1.39E+18,0,1
1.39E+18,0,1
1.27E+18,0,0
1.37E+18,0,1
1.41E+18,0,1
1.40E+18,0,1
1.28E+18,0,1
1.24E+18,1,0
1.37E+18,1,0
1.36E+18,1,0
1.36E+18,1,0
1.36E+18,0,0
1.39E+18,0,0
1.27E+18,0,1
1.39E+18,0,0
1.40E+18,0,0
1.34E+18,0,1
1.36E+18,0,1
1.39E+18,0,0
1.37E+18,0,0
1.26E+18,1,1
1.36E+18,1,0
1.40E+18,0,0
1.39E+18,0,1
1.36E+18,0,1
1.27E+18,0,0
1.34E+18,1,0
1.27E+18,0,0
1.25E+18,0,0
1.40E+18,1,0
1.39E+18,1,0
1.40E+18,0,1
1.34E+18,1,0
1.41E+18,1,0
1.27E+18,1,1
1.27E+18,1,0
1.35E+18,0,1
1.34E+18,0,1
1.39E+18,0,1
1.36E+18,1,1
1.27E+18,0,1
1.28E+18,0,0
1.39E+18,1,1
1.36E+18,0,1
1.39E+18,0,1
1.24E+18,1,0
1.40E+18,0,1
1.36E+18,0,1
1.36E+18,0,1
1.40E+18,0,1
1.27E+18,0,0
1.39E+18,1,0
1.41E+18,0,1
1.40E+18,0,1
1.34E+18,0,0
1.34E+18,0,1
1.36E+18,1,0
1.39E+18,0,1
1.34E+18,1,0
1.40E+18,1,0
1.40E+18,1,0
1.25E+18,1,0
1.39E+18,0,0
1.25E+18,1,0
1.28E+18,0,0
1.34E+18,1,0
1.39E+18,1,0
1.39E+18,1,0
1.35E+18,1,0
1.37E+18,0,1
1.39E+18,0,0
1.34E+18,0,0
1.34E+18,0,0
1.36E+18,1,0
1.37E+18,1,1
1.37E+18,1,0
1.39E+18,0,0
1.24E+18,1,0
1.35E+18,1,0
1.39E+18,1,0
1.34E+18,0,0
1.36E+18,1,0
1.27E+18,1,0
1.35E+18,0,0
1.36E+18,0,1
1.41E+18,0,1
1.39E+18,0,0
1.39E+18,1,0
1.36E+18,0,1
1.35E+18,1,0
1.26E+18,1,0
1.28E+18,0,0
1.40E+18,0,0
1.35E+18,0,1
1.24E+18,1,0
1.36E+18,0,1
1.27E+18,1,0
1.39E+18,0,1
1.27E+18,0,0
1.39E+18,0,1
1.36E+18,0,0
1.39E+18,1,0
1.39E+18,0,1
1.39E+18,1,1
1.40E+18,1,0
1.40E+18,0,0
1.39E+18,1,0
1.36E+18,1,0
1.34E+18,0,0
1.39E+18,1,0
1.39E+18,0,0
1.39E+18,0,0
1.39E+18,1,1
1.39E+18,0,0
1.39E+18,1,0
1.39E+18,0,1
1.28E+18,0,0
1.35E+18,0,0
1.39E+18,1,0
1.34E+18,0,1
1.39E+18,0,0
1.27E+18,0,0
1.40E+18,0,1
1.27E+18,1,0
1.40E+18,0,1
1.24E+18,0,0
1.40E+18,0,1
1.35E+18,0,0
1.39E+18,0,0
1.34E+18,0,0
1.39E+18,0,1
1.36E+18,0,0
1.34E+18,0,1
1.37E+18,0,0
1.28E+18,0,0
1.37E+18,0,1
1.35E+18,0,0
1.35E+18,0,1
1.39E+18,0,1
1.28E+18,0,0
1.36E+18,1,0
1.40E+18,0,1
1.27E+18,0,1
1.39E+18,0,0
1.35E+18,0,0
1.34E+18,1,1
1.34E+18,0,1
1.34E+18,1,0
1.27E+18,0,0
1.34E+18,1,0
1.39E+18,0,0
1.34E+18,1,0
1.36E+18,0,1
1.39E+18,0,1
1.28E+18,0,0
1.36E+18,1,0
1.37E+18,0,1
1.39E+18,0,0
1.41E+18,0,1
1.39E+18,0,0
1.35E+18,1,0
1.24E+18,0,0
1.36E+18,1,0
1.39E+18,0,0
1.27E+18,0,0
1.36E+18,1,0
1.27E+18,0,0
1.37E+18,1,1
1.41E+18,0,1
1.36E+18,0,1
1.28E+18,0,0
1.37E+18,1,0
1.34E+18,1,0
1.34E+18,0,1
1.24E+18,0,0
1.24E+18,0,0
1.34E+18,0,1
1.40E+18,0,0
1.41E+18,0,0
1.23E+18,0,1
1.35E+18,0,0
1.34E+18,0,1
1.26E+18,0,0
1.26E+18,0,0
1.37E+18,0,0
1.35E+18,0,0
1.39E+18,0,1
1.36E+18,0,1
1.36E+18,1,0
1.28E+18,0,1
1.35E+18,0,0
1.36E+18,0,0
1.37E+18,0,1
1.39E+18,0,1
1.36E+18,0,1
1.39E+18,0,1
1.39E+18,1,0
1.34E+18,0,1
1.35E+18,1,1
1.34E+18,1,0
1.27E+18,0,1
1.40E+18,0,1
1.39E+18,0,1
1.35E+18,0,0
1.41E+18,0,1
1.35E+18,0,1
1.25E+18,0,0
1.24E+18,0,0
1.35E+18,1,0
1.34E+18,0,0
1.39E+18,0,0
1.34E+18,0,1
1.36E+18,0,0
1.39E+18,0,0
1.39E+18,1,0
1.41E+18,0,1
1.28E+18,0,0
1.39E+18,0,1
1.39E+18,0,1
1.34E+18,0,1
1.27E+18,0,0
1.40E+18,0,1
1.34E+18,0,1
1.41E+18,0,1
1.39E+18,0,1
1.27E+18,0,0
1.39E+18,1,0
1.39E+18,0,0
1.37E+18,1,0
1.24E+18,0,0
1.35E+18,1,1
1.36E+18,0,1
1.37E+18,1,0
1.39E+18,1,0
1.28E+18,1,0
1.39E+18,0,0
1.39E+18,0,1
1.39E+18,1,0
1.35E+18,0,1
1.34E+18,0,1
1.39E+18,0,0
1.36E+18,1,0
1.37E+18,0,1
1.35E+18,1,0
1.39E+18,0,1
1.36E+18,0,0
1.36E+18,1,0
1.34E+18,1,0
1.41E+18,0,1
1.27E+18,0,0
1.35E+18,0,0
1.24E+18,1,0
1.40E+18,0,1
1.37E+18,0,1
1.35E+18,0,0
1.39E+18,1,0
1.34E+18,0,1
1.40E+18,1,1
1.39E+18,1,0
1.34E+18,1,0
1.37E+18,1,0
1.34E+18,1,0
1.39E+18,0,1
1.34E+18,0,1
1.35E+18,0,1
1.34E+18,1,0
1.36E+18,0,1
1.36E+18,0,1
1.37E+18,1,0
1.39E+18,0,0
1.28E+18,0,1
1.41E+18,0,1
1.36E+18,0,0
1.36E+18,0,1
1.39E+18,0,0
1.36E+18,0,1
1.35E+18,1,0
1.39E+18,0,1
1.35E+18,0,0
1.35E+18,1,0
1.40E+18,0,1
1.24E+18,0,0
1.35E+18,0,1
1.39E+18,0,0
1.24E+18,0,0
1.37E+18,0,1
1.24E+18,0,0
1.37E+18,0,0
1.35E+18,1,0
1.36E+18,0,1
1.40E+18,0,1
1.34E+18,0,0
1.34E+18,1,0
1.39E+18,1,0
1.35E+18,1,1
1.24E+18,1,0
1.39E+18,0,1
1.35E+18,0,1
1.37E+18,0,0
1.36E+18,0,1
1.39E+18,0,0
1.36E+18,1,0
1.35E+18,0,0
1.34E+18,1,0
1.35E+18,0,0
1.27E+18,0,1
1.24E+18,0,0
1.27E+18,1,0
1.37E+18,1,0
1.36E+18,0,1
1.41E+18,1,0
1.39E+18,0,0
1.37E+18,1,0
1.41E+18,0,1
1.39E+18,0,0
1.27E+18,1,0
1.41E+18,1,0
1.34E+18,0,1
1.37E+18,0,1
1.37E+18,0,1
1.39E+18,0,1
1.37E+18,0,1
1.28E+18,0,0
1.35E+18,0,0
1.40E+18,0,1
1.35E+18,1,0
1.39E+18,1,0
1.36E+18,0,0
1.39E+18,0,0
1.41E+18,0,0
1.37E+18,0,0
1.34E+18,0,1
1.37E+18,0,1
1.34E+18,1,0
1.41E+18,0,1
1.40E+18,1,0
1.27E+18,0,0
1.35E+18,0,0
1.34E+18,0,0
1.39E+18,1,0
1.36E+18,0,1
1.39E+18,0,1
1.37E+18,1,0
1.35E+18,0,0
1.36E+18,1,0
1.39E+18,1,0
1.39E+18,0,0
1.35E+18,0,0
1.28E+18,1,0
1.39E+18,0,1
1.24E+18,0,0
1.36E+18,0,1
1.39E+18,0,1
1.34E+18,1,0
1.35E+18,0,0
1.37E+18,0,1
1.34E+18,1,1
1.37E+18,0,1
1.40E+18,0,0
1.37E+18,1,0
1.35E+18,1,1
1.37E+18,0,0
1.35E+18,1,0
1.34E+18,0,1
1.39E+18,0,0
1.39E+18,0,0
1.36E+18,0,1
1.34E+18,0,1
1.37E+18,1,0
1.28E+18,0,0
1.40E+18,1,0
1.39E+18,0,0
1.40E+18,0,1
1.27E+18,0,0
1.28E+18,1,0
1.34E+18,0,1
1.40E+18,1,1
1.35E+18,0,1
1.34E+18,0,0
1.36E+18,0,1
1.36E+18,1,0
1.36E+18,0,0
1.40E+18,0,0
